label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
2	1353 kg	0.1342	tennis	rat, dog	550	0.1379	-0.6261	1.685	-1034 mph	-0.0628	-446	0.0707	221	538
1	166 kg	0.5034	golf	rabbit	-720	1.0802	1.421	0.844	-1130 mph	1.1642	-935	0.5625	1312	1383
0	-400 kg	1.9663	volleyball	guinea pig	-14	-0.0321	0.7991	-0.0442	551 mph	0.7829	-481	0.952	-463	2466
3	819 kg	-0.6003	track & field	ferret, cat	50	1.4644	-0.4304	-1.7163	1976 mph	0.2308	311	-0.3614	-71	761
3	2161 kg	0.7164	badminton	ferret, cat	-194	N/A	-0.1967	0.6819	838 mph	2.0003	-197	0.6382	985	1673
3	2221 kg	-1.036	track & field	cat, chicken	1129	0.5773	0.5479	0.9406	1091 mph	-0.0734	289	0.0061	-1012	-83
0	1963 kg	-0.5641	volleyball	guinea pig, bird	-571	0.1647	-0.2584	1.7984	2087 mph	0.8163	-806	-0.3644	388	1683
1	-991 kg	-0.6168	running	hamster	-1490	1.7787	1.7549	0.1791	779 mph	0.3455	1057	0.6644	-1838	319
2	63 kg	-0.2562	boxing	reptile	1249	0.598	-1.0862	1.243	1172 mph	0.4307	-774	0.2204	-654	1115
2	756 kg	0.1929	boxing	rat	1289	-0.1454	0.5533	1.3525	-686 mph	0.8626	221	1.4158	586	880
2	963 kg	0.5158	tennis	dog	982	0.1261	0.8254	0.5752	1744 mph	0.7482	953	-0.9176	563	143
3	855 kg	0.258	motor sports	ferret	1266	0.5638	0.2533	-1.546	2510 mph	-1.0146	-630	1.0012	117	-318
1	850 kg	-0.4328	soccer	hamster	726	0.5418	1.7247	1.6979	-117 mph	0.4797	-217	-0.7668	503	1439
3	767 kg	-0.2123	motor sports	cat	-401	1.1275	1.347	0.694	1011 mph	0.1737	-915	1.2024	511	-897
3	1829 kg	0.4256	motor sports	ferret	415	0.1906	-0.3227	0.5411	1643 mph	1.2193	1238	0.3932	108	234
3	1753 kg	-2.0359	motor sports	chicken	-1472	0.8996	0.6662	0.4846	666 mph	0.0021	632	1.2675	2174	690
1	-123 kg	1.2632	soccer	hamster	323	1.5676	0.7081	-0.0027	-870 mph	1.2243	277	0.3098	962	-579
0	306 kg	-0.1313	volleyball	guinea pig, bird	949	-0.4788	0.1011	-1.4421	540 mph	-0.1222	-705	0.6856	-577	738
0	523 kg	0.8225	volleyball	bird, guinea pig	1417	0.1178	1.0723	-0.5332	766 mph	1.4373	-376	0.8248	352	1470
0	-412 kg	0.6854	badminton	guinea pig	459	0.1229	2.2139	-0.5693	1716 mph	0.4393	-1453	1.3302	-453	1211
0	306 kg	0.2737	golf	n/a	550	0.7994	-0.2627	1.0881	918 mph	1.1476	-123	-0.7451	-31	471
1	1276 kg	0.0057	golf	rabbit	-113	0.2247	0.1722	0.0133	1056 mph	1.276	1891	0.4278	2302	793
3	1090 kg	1.3602	track & field	chicken, ferret	1188	0.4367	1.2043	0.7902	580 mph	-0.7237	793	0.6452	315	-135
0	700 kg	0.0177	football	guinea pig, bird	754	0.5474	-0.056	-0.4149	710 mph	0.6374	160	-1.0048	-186	759
3	436 kg	-0.2933	track & field	cat, chicken	713	0.6047	1.3137	0.5862	1552 mph	-0.1757	-1028	-0.0027	-421	983
1	-1114 kg	0.3687	golf	hamster	576	-1.1125	2.2858	-0.3231	261 mph	1.2643	836	2.6255	371	100
0	579 kg	0.3991	badminton	bird	308	0.2211	-0.2062	0.0276	1261 mph	0.2352	1007	0.974	673	649
2	843 kg	0.3988	baseball	rat, dog	-586	-0.6586	0.9723	-0.5913	-225 mph	0.8044	24	0.8858	846	249
0	1755 kg	2.3449	badminton	guinea pig, bird	990	-0.3259	0.6797	2.3732	1599 mph	0.7658	314	0.78	1138	2484
3	507 kg	0.6818	track & field	ferret	290	0.2581	1.1955	-0.5363	1058 mph	0.0518	285	0.8964	1247	1581
2	1239 kg	-0.3564	baseball	dog, rat, reptile	77	1.6397	1.0312	0.1109	-178 mph	0.9846	-261	0.8947	-567	1207
0	693 kg	-0.3891	football	fish	723	0.6881	1.3599	-1.0254	276 mph	1.7129	1959	0.6234	-96	1098
1	1067 kg	1.2768	soccer	hamster	536	0.7812	0.3451	-1.1285	561 mph	0.145	451	0.5296	782	640
3	-99 kg	0.6876	track & field	ferret	864	0.5626	1.0204	-0.6339	-88 mph	0.3946	-227	1.3632	2911	-537
0	538 kg	-0.5942	badminton	fish, guinea pig	?	0.5817	0.1713	-1.7931	1854 mph	-0.2383	1162	0.9694	401	635
1	-809 kg	1.6586	soccer	hamster	-892	0.4313	0.2365	1.1587	715 mph	-1.0188	618	-0.2062	-188	-491
0	569 kg	0.3368	volleyball	bird	901	0.3233	0.2998	0.1026	1491 mph	0.4034	400	0.4405	-141	54
0	453 kg	-1.0198	football	GUINEA PIG	330	0.5778	-0.3635	-2.5006	2267 mph	0.3683	157	1.06	-97	404
2	827 kg	-0.2751	ice hockey	dog, rat	198	-0.7556	-0.3515	-0.8069	-712 mph	2.2254	2057	-0.0534	1741	244
2	580 kg	0.9173	boxing	dog, pig, rat	823	1.6069	0.3588	1.0068	-409 mph	1.9029	130	0.268	1721	373
0	-593 kg	0.4418	volleyball	bird, fish	684	0.9772	-0.0292	1.3717	-422 mph	0.8886	-223	0.9375	-529	-398
3	367 kg	0.0257	motor sports	cat, chicken	14	1.5676	-1.0853	0.6518	375 mph	0.308	-1757	1.9682	1220	-697
1	772 kg	1.2966	basketball	rabbit	320	-0.8275	1.0507	0.7424	109 mph	-0.1893	898	1.3947	-1009	507
0	-141 kg	0.6932	football	bird	0	-0.634	1.3288	-0.9947	1200 mph	0.9394	2250	-1.0231	1950	2284
1	-434 kg	1.0511	soccer	rabbit	2148	2.349	-0.0158	-0.3751	596 mph	-0.2374	-643	-0.4523	865	-365
1	499 kg	0.8885	golf	rabbit	-158	-0.2301	1.0848	-1.8255	-1580 mph	-0.3653	921	1.2227	1246	-452
3	1372 kg	-2.1409	track & field	chicken	119	-0.0746	0.8619	0.4127	697 mph	-0.7736	107	-0.5126	911	23
3	1250 kg		motor sports	cat, chicken	16	0.8719	1.3302	0.0306	-72 mph	-1.0487	1796	1.0619	454	-1092
3	-916 kg	-0.5283	motor sports	ferret	798	2.0107	0.3754	1.4802	751 mph	2.3249	-541	0.8829	-506	-69
3	-41 kg	0.2309	track & field	cat	-1329	0.7346	1.0575	-0.0354	1425 mph	-1.0354	-739	-0.184	1460	46
3	464 kg	1.0008	track & field	cat, chicken	734	-0.0185	1.6092	-0.8319	505 mph	-0.5364	-243	0.8302	676	1439
0	-175 kg	0.533	VOLLEYBALL	fish	336	-0.3996	-0.7543	-0.617	-647 mph	1.1225	1041	-0.2343	921	900
0	-451 kg	-0.2858	football	guinea pig	-144	0.6139	-0.2828	0.2809	NULL	0.3756	-83	0.2438	1418	2043
3	476 kg	-0.0312	track & field	ferret	-254	NULL	0.5525	-0.4813	-567 mph	0.0072	1035	0.6849	-84	774
0	753 kg	1.8536	football	guinea pig	1027	0.958	-0.1062	0.5216	1407 mph	1.1001	1746	0.2704	2567	-577
0	892 kg	1.9719	Badminton	bird, fish	518	0.9899	-0.9168	-0.0856	470 mph	0.1173	-178	1.42	-423	2279
3	898 kg	1.1819	motor sports	chicken	1270	0.3219	1.2739	-0.8603	416 mph	-0.3882	-1656	1.3125	1376	1779
2	981 kg	0.2616	tennis	reptile, dog	504	0.5335	-0.6832	-0.5387	-556 mph	?	167	-1.0663	1022	1499
1	-1037 kg	0.6845	soccer	hamster	-1395	1.0997	1.1078	0.6978	-1182 mph	0.7303	746	1.3639	983	-39
1	1101 kg	-0.4883	golf	hamster	633	0.6749	-0.156	-1.4449	880 mph	1.2838	736	-0.3546	223	768
0	-29 kg	1.4524	volleyball	fish	-1188	0.0419	-0.4894	1.2615	1789 mph	1.2553	-1014	1.2683	1317	1538
3	857 kg	-0.3617	track & field	ferret, cat	654	2.3114	0.1472	-1.7756	92 mph	0.853	-996	0.6051	16	198
2	1169 kg	-1.2908	tennis	dog, pig	385	1.5095	2.7508	0.9815	-541 mph	0.7306	953	0.5673	1608	-105
2	1190 kg	0.1001	baseball	reptile	141	1.1903	1.6454	1.5356	-666 mph	0.143	1904	0.2664	-164	961
2	1073 kg	-0.4239	boxing	reptile, dog	430	1.8663	0.2458	-0.3819	1278 mph	0.0723	-273	0.8534	1209	336
2	1482 kg	-0.1549	Boxing	rat	534	0.9678	0.1616	1.0612	-1547 mph	1.1681	740	0.5672	200	1298
0	-234 kg	-0.3275	football	fish, bird	-45	0.1137	-0.0937	3.4145	1315 mph	0.1582	721	-0.2946	269	433
2	3 kg	2.1804	baseball	reptile, dog	-638	0.7628	1.6114	-1.0516	-42 mph	0.2649	-1663	0.2684	2718	-510
2	1102 kg	-0.399	ice hockey	reptile	1026	0.5445	-0.6974	-0.6007	-324 mph	0.5826	-741	0.0315	-376	456
0	-39 kg	1.5836	volleyball	guinea pig, bird	66	0.7729	1.8895	1.1099	1226 mph	-0.176	191	-0.2363	38	1412
0	223 kg	2.3205	volleyball	bird	14	0.4013	0.6981	2.4615	1405 mph	1.9763	2246	0.8454	-1866	-905
3	849 kg	0.5259	track & field	chicken, ferret	-451	0.2126	1.1401	0.7669	207 mph	1.772	2069	0.0142	7	1462
0	407 kg	1.9549	BADMINTON	bird, guinea pig	1315	1.275	0.3837	0.3231	1574 mph	0.2034	251	0.3396	1920	748
1	-430 kg	1.1709	golf	rabbit	-741	1.2667	0.4919	-0.4013	1688 mph	-0.2787	-881	0.0179	370	792
1	189 kg	-1.5043	golf	hamster	89	0.3669	0.4656	0.9932	-1398 mph		132	1.8619	130	-564
1	-194 kg	-1.9529	basketball	rabbit	344	0.5817	-0.3545	0.788	-1273 mph	0.5873	1443	-0.0387	893	885
1	-224 kg	1.8169	golf	hamster	-269	0.3642	-0.6576	0.4498	556 mph	-0.4674	1922	-0.3471	624	1067
1	-117 kg	0.7124	running	hamster	-888	0.8103	1.016	-0.0233	771 mph	-0.7136	1356	0.4856	1394	-394
3	985 kg	-0.742	track & field	ferret, cat	?	0.1194	0.5106	0.598	NULL	-0.1376	496	-0.554	-440	695
3	2124 kg	0.0194	track & field	cat, ferret	233	1.7822	0.1651	0.7091	2605 mph	-0.2163	626	0.2087	-687	1112
3	2638 kg	-0.356	ice hockey	cat	654	1.1537	1.4255	0.8709	-812 mph	-1.0925	400	1.0684	1001	-884
1	572 kg	-0.218	running	hamster	-648	0.711	0.4717	0.5936	638 mph	-0.0665	1274	-0.345	1132	764
2	1719 kg	0.5725	baseball	rat, pig, dog	930	0.4228	0.0045	1.0239	-348 mph	n/a	118	-0.1068	NULL	710
3	851 kg	-0.5832	None	ferret, chicken	494	0.0354	1.8325	-1.3775	1637 mph	1.2596	842	0.3111	-177	756
2	1691 kg	-0.114	boxing	reptile, rat	22	0.5233	-0.042	-0.0912	689 mph	0.9849	-833	0.5132	1629	174
2	656 kg	0.4984	boxing	dog, pig	73	1.2689	-0.5996	2.0061	1386 mph	1.4368	-467	0.5426	1189	472
2	828 kg	-0.7806	tennis	pig, dog, reptile	589	0.3973	0.1798	-0.2533	-317 mph	0.8157	-130	0.6376	283	1355
0	-1600 kg	0.8018	volleyball	bird	461	0.5111	0.3115	-0.0273	59 mph	0.2861	645	2.5686	-142	-521
3	-143 kg	-0.7579	track & field	ferret	951	0.2608	0.9835	0.3507	-1225 mph	0.5769	137	0.2808	629	200
2	607 kg	1.0554	tennis	reptile	1150	0.6267	-0.693	0.8821	1334 mph	1.6938	132	1.1106	1407	-146
1	1285 kg	0.0855	track & field	hamster	-713	1.3288	1.8425	0.3178	35 mph	0.2995	509	0.3861	-429	-77
2	1486 kg	0.0065	boxing	reptile, dog	1964	1.166	-1.684	3.0899	1089 mph	0.3386	-361	-0.0755	149	1359
2	1291 kg	0.3393	baseball	dog	943	0.625	1.0822	1.4134	-265 mph	-0.0708	546	-2.2019	1584	-714
3	1721 kg	0.734	motor sports	ferret	53	0.4946	0.3143	1.8393	2669 mph	0.4387	457	-0.7537	578	887
0	-341 kg	-0.8365	football	fish, bird	1218	0.4143	0.6251	1.9962	359 mph	1.6409	1202	0.7157	-100	-190
3	857 kg	-0.1957	track & field	ferret, cat	2	0.9427	1.0891	-1.8148	552 mph	-0.8522	504	-0.2003	881	851
2	1137 kg	0.8084	baseball	reptile, pig, dog	-1087	0.8409	-0.1522	-1.0306	-548 mph	0.3857	838	1.0411	971	-146
1	-595 kg	1.8771	basketball	hamster	-747	1.4425	1.2564	2.2393	1039 mph	0.0395	1492	0.4755	474	-14
1	940 kg	-0.648	running	hamster	1094	0.4304	1.2855	1.1991	-362 mph	-0.0156	382	-0.0855	949	-605
3	-617 kg	-0.4697	motor sports	chicken	1149	0.541	0.6342	1.0205	722 mph	-0.2162	N/A	0.5179	-307	38
2	-834 kg	1.1879	tennis	pig, rat	151	1.3079	0.6911	0.5934	-1467 mph	0.1062	138	1.2405	287	19
3	486 kg	0.215	track & field	ferret, chicken	898	1.1378	0.5268	1.8758	1497 mph	-0.6176	283	-1.4747	105	-529
0	672 kg	1.4974	badminton	bird, fish	797	0.635	-0.7928	1.2907	1261 mph	0.6352	1418	0.2538	960	702
1	-139 kg	1.0214	golf	rabbit	202	0.542	0.2538	1.487	-791 mph	0.4578	-1	-0.02	1084	282
2	-125 kg	-0.7774	boxing	dog, pig, reptile	-179	0.7537	0.3115	1.268	48 mph	0.3648	716	-1.1809	410	-993
2	-81 kg	-0.2586	baseball	dog, reptile, rat	811	1.0233	-0.3673	-0.5061	-61 mph	0.869	-791	1.0794	740	727
0	-25 kg	0.9081	volleyball	guinea pig	-195	0.916	0.6789	-1.4193	2372 mph	2.4828	2081	-1.4166	849	2749
1	847 kg	1.0335	running	rabbit	991	0.8462	-0.4951	0.0708	504 mph	n/a	-1302	-0.0741	513	-234
2	321 kg	-2.6282	tennis	reptile	912	-0.2205	-0.853	1.385	-125 mph	0.9349	1406	-0.9255	1144	1473
3	907 kg	-0.1429	track & field	cat	-227	0.3285	1.0287	-2.3289	1631 mph	-0.0579	1672	-0.5038		2133
0	447 kg	2.1987	badminton	bird	1182	-0.4277	0.3059	-0.1403	1331 mph	-0.219	-522	-0.5615	2313	-1066
3	414 kg	-0.3968	track & field	ferret, chicken	1251	0.4447	-0.0442	0.8604	2037 mph	0.8142	712	1.4125	-653	-654
3	2617 kg	-0.302	motor sports	ferret, chicken	156	0.8218	0.5383	-0.656	-228 mph	1.0187	-713	0.5995	1447	232
0	591 kg	0.7363	Badminton	bird	-258	0.6729	1.9021	0.4292	630 mph	0.718	935	1.5629	872	-516
2	398 kg	-0.7493	boxing	pig, dog	925	2.0073	0.2041	-0.0984	-89 mph	-0.4315	1355	0.8193	-563	-196
2	264 kg	0.3726	tennis	pig, reptile, rat	1657	1.7803	0.6941	-0.2031	2175 mph	1.0316	192	0.3657	611	-82
0	673 kg	1.5815	football	bird	-15	-0.2725	0.3765	-0.9063	-717 mph	2.4334	1433	0.622	634	2492
1	-312 kg	-1.2438	soccer	hamster	464	0.7522	0.4333	-0.9091	-761 mph	0.3183	759	0.648	671	209
1	641 kg	2.4194	soccer	hamster	-9	0.1401	1.0676	-0.4966	-474 mph	-0.2685	679	-0.1938	845	135
1	129 kg	-0.6718	golf	hamster	486	1.1757	-0.7901	0.5015	219 mph	-0.0133	1945	0.202	-351	725
1	540 kg	0.7117	running	hamster	1409	0.3467	0.8694	1.0306	504 mph	0.4425	1855	-0.2533	-376	1186
1	125 kg	-0.6589	soccer	hamster	246	1.3223	-0.3097	0.6248	-212 mph	0.5865	874	0.8554	NULL	121
3	1550 kg	0.5977	motor sports	chicken	-434	0.8378	0.1875	-0.2043	198 mph	-0.2423	-95	-0.1667	-99	664
0	-800 kg	1.9632	football	guinea pig	1258	1.1224	-0.7989	1.2352	598 mph	0.9446	-593	0.9313	967	1877
3	1057 kg	1.5715	motor sports	ferret, cat	n/a	0.9289	0.3015	-0.3254	-188 mph	-0.2552	-128	1.0479	-346	1498
0	204 kg	0.0068	volleyball	fish, bird	785	0.3712	1.3591	0.218	575 mph	0.6406	451	0.5246	245	1709
2	-293 kg	-1.4094	ice hockey	pig, rat, dog	148	0.227	0.6602	0.2485	427 mph	0.4247	-961	0.0799	-24	1235
2	-34 kg	0.8871	baseball	dog	-335	0.5867	0.7562	0.9714	-447 mph	n/a	1684	-0.0839	272	2016
0	-872 kg	-0.994	badminton	bird	-376	1.0691	1.3399	1.4211	1876 mph	0.3127	-364	1.6654	1280	-1421
1	-152 kg	-0.1967	running	rabbit	-102	0.5525	1.4195	0.1961	-408 mph	-0.0856	-114	0.5423	1428	-7
3	795 kg	-1.5137	motor sports	chicken	784	-0.2792	1.2445	0.1722	-113 mph	0.1116	-958	0.4039	1696	-394
3	-496 kg	0.1373	track & field	cat	-887	0.1809	0.1193	0.5143	-9 mph	-0.4652	601	1.6653	-158	675
3	1161 kg	-0.4566	motor sports	ferret	271	1.2136	0.5435	-0.0004	1158 mph	1.0257	-397	0.7107	876	-508
3	677 kg	-0.111	track & field	reptile, pig, rat	304	0.7399	0.6261	2.7867	1697 mph	2.1256	-1048	-0.3865	909	682
1	-185 kg	0.5848	basketball	rabbit	997	1.2052	0.3625	0.2191	444 mph	0.5087	2276	0.5172	-410	29
3	2137 kg	0.5849	motor sports	cat	434	1.5269	-0.2911	1.2097	-608 mph	NULL	-1043	1.1737	328	-775
1	6 kg	1.7622	basketball	hamster	-139	0.5996	0.1007	-0.2897	1663 mph	0.4374	1369	0.6323	645	718
1	661 kg	0.0593	golf	hamster	882	1.012	0.0771	0.6135	297 mph	-0.7108	2081	1.0859	667	227
1	1386 kg	-0.8567	basketball	hamster	-1593	0.4759	0.1764	1.4782	1089 mph	-0.7521	-586	0.1455	1315	223
2	2036 kg	0.9748	motor sports	rat, pig, dog	575	1.476	0.9044	2.2942	-696 mph	1.5281	1059	-0.0815	1644	864
1	319 kg	-0.0535	running	rabbit	647	0.9939	0.2043	?	-138 mph	1.0955	230	0.2019	1670	1125
0	624 kg	1.0582	football	bird, guinea pig	-11	1.2675	0.2966	0.5829	1062 mph	-0.8074	731	1.0459	2017	-92
2	-115 kg	1.5038	baseball	dog	680	0.677	1.5812	1.6353	-1094 mph	0.3832	473	0.0683	-74	156
2	865 kg	1.6871	tennis	dog, rat, reptile	707	1.158	-0.1278	0.7236	1462 mph	1.7649	14	-0.1136	693	-328
1	-2 kg	-0.0045	basketball	rabbit	491	-1.0278	0.8872	0.5255	1007 mph	0.1149	347	-0.7618	-1243	640
0	592 kg	0.1168	volleyball	guinea pig	978	1.544	1.2701	-0.4509	1670 mph	1.2205	468	0.1776	164	-704
3	479 kg	-0.5446	motor sports	cat, ferret	860	0.3943	-0.0546	0.7974	903 mph	1.0585	-957	1.212	441	698
1	534 kg	-0.7692	running	hamster	-151	0.6836	1.1618	0.2512	1397 mph	-0.003	2162	0.5723	2425	-594
0	445 kg	-0.5923	volleyball	fish	-700	1.5436	0.2315	0.6452	968 mph	0.0749	724	0.3182	-1251	717
2	22 kg	0.2757	ice hockey	reptile, pig, dog	50	0.769	-0.2873	2.4016	1548 mph	1.9154	153	1.2624	1545	52
2	1713 kg	0.5243	boxing	pig	-476	0.8104	0.0855	0.786	-467 mph	0.039	941	1.5686	170	1687
2	1012 kg	2.4958	baseball	reptile, dog, pig	-7	-0.0115	-0.3239	0.9811	-911 mph	0.3186	505	0.3907	1717	-614
